ID,LAND,TID,SITC,INDHOLD
508,Liberia,2021,Diverse fremstillede varer,0
509,Libya,2018,Diverse fremstillede varer,0
510,Libya,2019,Diverse fremstillede varer,0
511,Libya,2020,Diverse fremstillede varer,0
512,Libya,2021,Diverse fremstillede varer,0
513,Liechtenstein,2018,Diverse fremstillede varer,5
514,Liechtenstein,2019,Diverse fremstillede varer,6
515,Liechtenstein,2020,Diverse fremstillede varer,0
516,Liechtenstein,2021,Diverse fremstillede varer,5
517,Lithuania,2018,Diverse fremstillede varer,1241040
518,Lithuania,2019,Diverse fremstillede varer,1220834
519,Lithuania,2020,Diverse fremstillede varer,1370341
520,Lithuania,2021,Diverse fremstillede varer,1665274
521,Luxembourg,2018,Diverse fremstillede varer,11766
522,Luxembourg,2019,Diverse fremstillede varer,11544
523,Luxembourg,2020,Diverse fremstillede varer,7676
524,Luxembourg,2021,Diverse fremstillede varer,11831
525,Macao,2018,Diverse fremstillede varer,0
526,Macao,2019,Diverse fremstillede varer,0
527,Macao,2020,Diverse fremstillede varer,0
528,Macao,2021,Diverse fremstillede varer,110
529,Madagascar,2018,Diverse fremstillede varer,208
530,Madagascar,2019,Diverse fremstillede varer,64
531,Madagascar,2020,Diverse fremstillede varer,161
532,Madagascar,2021,Diverse fremstillede varer,68
533,Malawi,2018,Diverse fremstillede varer,0
534,Malawi,2019,Diverse fremstillede varer,125
535,Malawi,2020,Diverse fremstillede varer,132
536,Malawi,2021,Diverse fremstillede varer,428
537,Malaysia,2018,Diverse fremstillede varer,96401
538,Malaysia,2019,Diverse fremstillede varer,93787
539,Malaysia,2020,Diverse fremstillede varer,99860
540,Malaysia,2021,Diverse fremstillede varer,84847
541,Maldives,2018,Diverse fremstillede varer,0
542,Maldives,2019,Diverse fremstillede varer,0
543,Maldives,2020,Diverse fremstillede varer,0
544,Maldives,2021,Diverse fremstillede varer,0
545,Mali,2018,Diverse fremstillede varer,0
546,Mali,2019,Diverse fremstillede varer,0
